User,Items,Ratings,,,,,,,,,,,,,,,,,,,,,
u1,item_1,1,,,,,,,,,,,,,,,,,,,,,
u1,item_10,3,,,,,,,,,,,,,,,,,,,,,
u1,item_11,1,,,,,,,,,,,,,,,,,,,,,
u1,item_12,4,,,,,,,,,,,,,,,,,,,,,
u1,item_2,2,,,,,,,,,,,,,,,,,,,,,
u1,item_3,3,,,,,,,,,,,,,,,,,,,,,
u1,item_4,4,,,,,,,,,,,,,,,,,,,,,
u1,item_5,5,,,,,,,,,,,,,,,,,,,,,
u1,item_7,1,,,,,,,,,,,,,,,,,,,,,
u1,item_8,2,,,,,,,,,,,,,,,,,,,,,
u1,item_9,1,,,,,,,,,,,,,,,,,,,,,
u10,item_1,1,,,,,,,,,,,,,,,,,,,,,
u10,item_11,1,,,,,,,,,,,,,,,,,,,,,
u10,item_12,2,,,,,,,,,,,,,,,,,,,,,
u10,item_2,2,,,,,,,,,,,,,,,,,,,,,
u10,item_3,1,,,,,,,,,,,,,,,,,,,,,
u10,item_4,2,,,,,,,,,,,,,,,,,,,,,
u10,item_5,1,,,,,,,,,,,,,,,,,,,,,
u10,item_6,2,,,,,,,,,,,,,,,,,,,,,
u10,item_8,1,,,,,,,,,,,,,,,,,,,,,
u10,item_9,2,,,,,,,,,,,,,,,,,,,,,
u2,item_1,5,,,,,,,,,,,,,,,,,,,,,
u2,item_10,3,,,,,,,,,,,,,,,,,,,,,
u2,item_11,1,,,,,,,,,,,,,,,,,,,,,
u2,item_12,3,,,,,,,,,,,,,,,,,,,,,
u2,item_2,4,,,,,,,,,,,,,,,,,,,,,
u2,item_3,3,,,,,,,,,,,,,,,,,,,,,
u2,item_4,2,,,,,,,,,,,,,,,,,,,,,
u2,item_5,1,,,,,,,,,,,,,,,,,,,,,
u2,item_6,1,,,,,,,,,,,,,,,,,,,,,
u2,item_7,2,,,,,,,,,,,,,,,,,,,,,
u2,item_8,1,,,,,,,,,,,,,,,,,,,,,
u2,item_9,2,,,,,,,,,,,,,,,,,,,,,
u3,item_1,1,,,,,,,,,,,,,,,,,,,,,
u3,item_10,1,,,,,,,,,,,,,,,,,,,,,
u3,item_11,2,,,,,,,,,,,,,,,,,,,,,
u3,item_12,3,,,,,,,,,,,,,,,,,,,,,
u3,item_3,1,,,,,,,,,,,,,,,,,,,,,
u3,item_5,1,,,,,,,,,,,,,,,,,,,,,
u3,item_6,2,,,,,,,,,,,,,,,,,,,,,
u3,item_9,1,,,,,,,,,,,,,,,,,,,,,
u4,item_1,1,,,,,,,,,,,,,,,,,,,,,
u4,item_10,1,,,,,,,,,,,,,,,,,,,,,
u4,item_11,1,,,,,,,,,,,,,,,,,,,,,
u4,item_12,1,,,,,,,,,,,,,,,,,,,,,
u4,item_2,1,,,,,,,,,,,,,,,,,,,,,
u4,item_3,1,,,,,,,,,,,,,,,,,,,,,
u4,item_4,1,,,,,,,,,,,,,,,,,,,,,
u4,item_5,1,,,,,,,,,,,,,,,,,,,,,
u4,item_6,1,,,,,,,,,,,,,,,,,,,,,
u4,item_7,1,,,,,,,,,,,,,,,,,,,,,
u4,item_8,1,,,,,,,,,,,,,,,,,,,,,
u4,item_9,1,,,,,,,,,,,,,,,,,,,,,
u5,item_1,1,,,,,,,,,,,,,,,,,,,,,
u5,item_10,4,,,,,,,,,,,,,,,,,,,,,
u5,item_11,4,,,,,,,,,,,,,,,,,,,,,
u5,item_12,4,,,,,,,,,,,,,,,,,,,,,
u5,item_2,1,,,,,,,,,,,,,,,,,,,,,
u5,item_3,1,,,,,,,,,,,,,,,,,,,,,
u5,item_4,2,,,,,,,,,,,,,,,,,,,,,
u5,item_5,2,,,,,,,,,,,,,,,,,,,,,
